,World,Africa,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Americas,Northern America,Central America,Caribbean,South America,Asia,Central Asia,Eastern Asia,Southern Asia,South-Eastern Asia,Western Asia,Europe,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Oceania,Melanesia,Micronesia,Polynesia
Apples,0.25,0.12,-0.11,0.04,-0.22,-0.62,-0.42,0.52,0.17,-0.41,-0.26,0.65,0.22,-0.3,0.1,0.41,0.01,-0.1,0.08,-0.11,0.06,0.04,0.22,-0.02,0.32,0.0,0.0
Apricots,0.13,-0.02,0.22,0.0,-0.14,0.01,0.28,-0.01,-0.59,0.44,-0.11,0.05,0.33,0.45,-0.01,0.16,-0.28,0.09,-0.11,0.04,0.25,-0.04,-0.29,0.39,0.0,0.0,0.0
"Apricots, dry",0.46,0.1,0.59,-0.13,-0.34,0.14,-0.06,-0.48,-0.42,0.34,0.39,0.35,0.13,-0.05,-0.09,0.42,-0.46,-0.16,0.07,0.07,-0.06,0.3,-0.19,-0.24,0.0,0.0,0.0
Artichokes,0.02,-0.19,-0.01,-0.26,0.07,-0.17,0.02,-0.24,-0.42,0.73,0.0,-0.33,-0.2,0.42,-0.06,-0.26,-0.2,0.1,-0.18,-0.51,0.2,-0.27,-0.24,0.35,0.21,0.0,0.0
Asparagus,0.41,0.27,-0.48,0.0,0.37,0.31,0.24,0.42,-0.58,-0.21,0.64,0.42,0.2,0.0,0.02,-0.23,-0.36,0.59,-0.01,0.03,-0.16,-0.27,-0.03,-0.01,-0.07,0.0,0.0
Avocados,0.34,0.28,0.43,-0.02,0.47,0.03,0.02,0.62,0.13,-0.35,-0.38,0.53,0.59,0.0,0.04,-0.21,-0.37,-0.42,0.21,0.07,0.12,-0.19,-0.3,0.14,0.0,0.0,0.0
Bananas,0.27,-0.24,-0.0,-0.24,0.17,0.03,-0.13,0.68,-0.67,-0.03,-0.32,0.47,0.19,-0.04,0.45,-0.24,-0.48,-0.05,-0.02,-0.23,0.18,0.18,-0.39,-0.39,-0.19,0.0,0.0
Barley,0.09,-0.33,0.44,0.0,-0.39,0.12,0.0,-0.07,0.06,-0.39,-0.32,0.36,-0.0,-0.38,0.17,0.24,-0.16,0.39,-0.12,0.03,0.19,0.18,0.07,0.12,0.0,0.0,0.0
"Barley, pearled",-0.12,-0.23,-0.05,0.0,-0.3,-0.54,0.0,-0.26,0.12,-0.18,0.19,-0.61,-0.21,-0.16,0.08,-0.03,0.01,-0.08,0.1,0.21,0.38,-0.13,-0.04,0.29,0.0,0.0,0.0
"Beans, green",0.31,-0.02,0.24,-0.22,0.27,0.04,0.8,0.09,-0.16,0.1,0.24,0.26,0.12,0.34,0.09,-0.36,-0.37,0.39,-0.09,0.12,-0.3,-0.35,0.02,0.32,0.31,0.0,0.0
Blueberries,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,0.66,0.0,-0.3,-0.45,-0.4,0.68,0.0,0.0,0.0,-0.04,-0.13,-0.14,-0.06,-0.2,0.09,0.0,0.0,0.0
Buckwheat,-0.37,-0.3,0.32,0.0,-0.35,0.0,0.34,-0.36,-0.04,0.27,0.0,-0.4,-0.13,-0.18,0.62,-0.07,-0.35,0.14,0.49,0.5,0.36,0.47,0.18,-0.06,0.0,0.0,0.0
Cassava,0.33,-0.4,0.0,0.0,0.0,0.0,-0.83,0.29,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassava dried,0.33,-0.35,0.06,-0.22,0.15,0.15,-0.29,0.47,0.23,-0.1,-0.17,0.69,-0.18,0.0,0.06,0.09,-0.03,-0.21,-0.13,0.35,0.29,-0.25,0.25,0.36,-0.29,0.0,0.0
Cherries,0.31,-0.03,0.28,0.0,-0.01,-0.57,0.0,0.52,0.01,0.48,-0.24,0.44,0.22,0.19,0.23,0.11,-0.23,-0.17,-0.07,0.07,0.4,0.01,-0.05,0.25,-0.01,0.0,0.0
"Cherries, sour",-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.15,0.0,0.0,0.0,-0.36,-0.4,0.0,0.0,0.0,-0.35,0.03,0.16,-0.46,-0.01,0.18,0.0,0.0,0.0,0.0
Coconuts,0.39,0.28,0.26,-0.25,-0.22,-0.28,0.2,-0.05,-0.27,-0.0,0.04,0.06,0.33,-0.29,0.01,-0.33,-0.32,-0.42,0.17,0.1,-0.27,0.22,0.23,0.28,0.56,0.0,0.0
"Coconuts, desiccated",0.33,-0.33,0.57,-0.81,0.2,-0.36,-0.4,-0.05,0.16,0.12,0.05,0.02,0.33,0.0,0.36,0.23,-0.32,-0.45,0.02,0.25,-0.15,0.13,-0.17,-0.07,-0.19,0.0,0.0
Cranberries,0.48,0.02,0.0,0.0,-0.06,0.0,0.0,0.34,-0.02,0.0,0.0,0.49,-0.09,0.0,-0.74,-0.17,0.0,-0.03,0.67,0.58,0.49,0.03,-0.18,0.0,0.0,0.0,0.0
Currants,-0.16,0.55,-0.29,0.0,0.2,0.11,0.25,0.06,-0.27,0.0,0.48,-0.27,0.1,-0.08,-0.09,-0.14,0.0,0.4,0.07,0.12,-0.39,0.15,0.39,0.01,0.0,0.0,0.0
Dates,-0.05,-0.06,0.27,0.76,0.42,0.04,0.1,0.05,-0.2,-0.37,0.28,-0.38,-0.08,-0.3,0.01,-0.31,-0.47,-0.45,0.02,0.26,0.05,-0.19,-0.14,0.1,-0.16,0.0,0.0
Figs,0.38,-0.42,0.62,-0.28,-0.32,0.0,0.05,0.15,0.0,0.39,-0.01,0.67,0.42,-0.4,0.05,0.12,0.12,-0.13,-0.19,-0.13,-0.05,-0.32,-0.0,-0.31,0.0,0.0,0.0
Figs dried,0.16,0.19,-0.1,0.0,0.3,-0.09,0.29,0.19,0.15,0.43,0.0,-0.11,0.06,0.15,-0.08,-0.07,-0.07,0.05,-0.25,-0.09,0.26,-0.28,-0.17,-0.42,0.0,0.0,0.0
Fonio,0.13,-0.22,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit, fresh nes",0.34,0.18,0.06,-0.32,0.5,-0.4,-0.26,0.23,-0.27,-0.6,-0.02,-0.14,0.16,0.14,-0.27,0.19,-0.42,-0.39,-0.09,0.08,-0.0,0.34,-0.27,-0.37,0.84,0.0,0.0
"Fruit, tropical fresh nes",0.34,0.08,0.24,0.01,0.21,0.22,-0.61,-0.2,-0.22,-0.43,0.33,0.45,0.46,0.0,0.15,0.07,-0.28,0.34,0.15,0.28,-0.13,0.14,-0.16,-0.04,0.0,0.0,0.0
Garlic,0.43,-0.24,0.17,-0.33,-0.17,-0.37,0.23,0.47,-0.2,0.73,-0.05,0.46,0.43,0.09,0.06,-0.22,-0.05,-0.48,-0.05,0.07,-0.0,0.09,-0.17,-0.01,0.04,0.0,0.0
Gooseberries,0.02,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.16,0.0,0.08,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0
Grapes,0.32,0.05,0.47,-0.04,0.4,-0.16,-0.22,0.36,-0.49,-0.1,-0.42,0.32,0.22,0.13,0.06,-0.23,-0.09,-0.25,-0.14,0.23,0.12,0.22,-0.17,0.19,-0.03,0.0,0.0
Linseed,-0.2,0.16,0.43,0.0,-0.04,0.16,0.0,0.2,0.12,-0.04,-0.07,0.56,0.17,-0.14,0.48,-0.04,-0.47,-0.32,-0.06,0.12,-0.42,0.46,-0.01,0.39,0.0,0.0,0.0
Maize,0.38,-0.21,0.42,0.09,-0.06,0.21,-0.07,0.5,0.48,0.13,-0.28,0.57,0.2,-0.17,0.21,0.08,0.34,0.05,0.25,0.22,0.04,-0.3,0.21,0.38,-0.21,0.0,0.0
"Maize, green",-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.27,-0.08,0.01,0.22,0.12,-0.17,0.34,0.0,-0.33,0.34,0.09,0.08,0.27,0.05,0.3,0.0,0.0,0.0,0.0
"Mangoes, mangosteens, guavas",0.34,-0.04,0.06,-0.24,-0.31,-0.38,-0.13,0.34,0.0,-0.03,0.17,0.35,0.21,0.13,0.48,-0.3,0.25,-0.44,-0.01,0.05,-0.15,0.0,-0.07,-0.05,-0.15,0.0,0.0
Millet,0.29,-0.52,-0.07,-0.21,0.03,-0.45,-0.17,-0.1,0.13,0.02,0.0,-0.38,0.22,-0.29,0.44,-0.3,0.01,-0.45,-0.08,-0.15,0.01,0.04,0.16,0.08,0.88,0.0,0.0
Oats,0.24,0.03,-0.45,0.0,-0.11,-0.4,0.2,0.27,0.52,-0.26,-0.48,0.45,-0.48,-0.43,-0.07,-0.29,-0.18,0.1,-0.06,-0.12,-0.05,0.25,-0.05,-0.13,-0.56,0.0,0.0
Oats rolled,0.3,-0.26,-0.1,0.0,0.0,0.4,-0.14,0.24,0.12,-0.31,-0.27,0.08,0.38,-0.23,-0.13,0.19,-0.37,0.12,-0.03,0.29,-0.18,-0.08,0.03,0.08,-0.16,0.0,0.0
"Oil, palm",0.36,0.02,0.47,0.09,0.04,0.27,-0.16,0.57,0.25,-0.42,-0.32,0.55,0.38,0.81,0.09,-0.25,-0.29,-0.17,0.06,0.13,0.2,-0.07,-0.2,0.52,-0.02,0.0,0.0
"Oil, palm kernel",0.41,0.18,-0.15,0.08,0.41,-0.34,0.35,0.53,-0.14,-0.31,-0.24,0.38,0.24,0.0,-0.2,-0.49,-0.15,-0.47,-0.19,-0.2,0.11,0.37,-0.28,0.07,-0.21,0.0,0.0
Olives,-0.02,0.15,0.0,0.0,0.44,0.0,0.0,-0.32,0.0,0.0,-0.02,-0.2,-0.11,-0.58,0.0,0.0,0.0,-0.22,-0.22,0.17,-0.08,0.15,0.15,0.0,0.0,0.0,0.0
Olives preserved,0.46,0.07,-0.29,0.0,-0.02,-0.31,0.13,0.61,0.09,-0.12,-0.18,0.49,0.19,0.02,0.02,0.21,-0.15,-0.24,-0.04,-0.25,-0.09,0.02,-0.14,0.27,0.0,0.0,0.0
"Onions, dry",0.31,-0.24,0.6,0.42,0.19,-0.46,-0.02,0.73,-0.15,0.13,-0.49,0.61,0.3,-0.04,-0.03,-0.39,-0.01,-0.11,0.14,0.15,0.01,0.15,0.05,-0.1,0.5,0.0,0.0
Oranges,0.43,0.11,-0.08,0.76,0.12,-0.14,-0.66,0.03,-0.21,-0.29,0.41,0.39,-0.16,-0.33,-0.01,0.38,-0.03,-0.11,0.14,0.25,0.19,0.4,0.53,0.34,-0.01,0.0,0.0
Papayas,0.47,0.27,0.56,-0.25,0.35,0.27,-0.06,0.41,-0.52,-0.44,0.08,0.37,0.39,0.0,0.12,0.19,-0.37,-0.2,-0.07,-0.05,0.23,0.31,0.08,-0.32,-0.05,0.0,0.0
Pears,0.25,0.29,-0.37,0.0,0.12,-0.46,0.02,0.44,-0.66,-0.33,-0.27,0.5,0.35,0.14,0.04,0.35,0.17,-0.38,-0.07,-0.37,0.04,-0.32,-0.14,-0.11,0.34,0.0,0.0
"Peas, green",0.17,0.08,0.47,-0.13,0.26,0.26,-0.24,0.37,-0.15,-0.04,0.46,0.57,0.35,0.29,0.09,-0.37,-0.04,-0.1,0.27,0.1,0.38,0.17,0.31,0.21,0.2,0.0,0.0
Persimmons,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.38,0.26,0.0,-0.22,0.0,0.0,0.21,-0.28,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Pineapples,0.35,-0.09,0.44,0.1,0.16,0.39,0.01,0.55,-0.43,-0.41,-0.06,0.52,0.29,-0.14,0.36,-0.41,-0.39,-0.31,0.03,0.1,-0.08,-0.11,-0.2,-0.45,-0.07,0.0,0.0
Pineapples canned,0.25,-0.43,0.42,-0.32,0.62,-0.03,0.08,0.4,0.25,0.29,-0.41,-0.24,0.07,-0.08,0.13,-0.12,-0.53,-0.61,-0.04,-0.03,0.39,-0.12,-0.25,-0.63,0.23,0.0,0.0
Plantains,0.48,-0.06,0.0,0.0,0.0,0.0,0.03,0.09,0.0,-0.5,0.69,0.01,0.33,0.0,0.0,-0.22,0.0,0.0,0.45,-0.34,-0.23,-0.14,0.49,0.0,0.0,0.0,0.0
Potatoes,0.37,-0.07,-0.12,-0.19,0.31,-0.3,-0.21,0.57,0.54,-0.01,-0.17,-0.09,0.15,-0.52,0.0,-0.13,-0.14,-0.31,0.16,-0.01,0.31,-0.17,0.08,0.29,0.09,0.0,0.0
"Potatoes, frozen",0.47,0.13,0.19,0.26,0.21,0.43,-0.09,0.35,0.02,-0.19,0.46,0.33,0.25,-0.11,-0.15,-0.1,-0.27,-0.03,0.04,-0.13,0.12,0.08,-0.03,0.25,0.61,0.0,0.0
"Pumpkins, squash and gourds",0.21,-0.05,-0.03,0.0,0.34,0.0,0.0,-0.56,0.0,0.41,0.28,0.5,0.22,0.87,0.39,0.04,0.0,-0.04,-0.04,0.12,0.42,-0.01,-0.16,-0.1,0.25,0.0,0.0
Quinces,0.18,-0.07,0.0,0.0,-0.38,0.0,0.0,0.11,0.0,0.61,0.0,-0.05,0.51,-0.01,0.01,0.0,-0.13,-0.24,0.31,0.14,-0.07,-0.22,0.23,0.0,0.0,0.0,0.0
Rapeseed,0.38,0.29,0.6,0.0,0.05,0.05,0.6,0.48,0.53,0.0,0.0,0.34,0.13,0.02,0.1,-0.32,0.25,-0.25,0.01,-0.07,-0.03,0.42,-0.02,0.44,-0.05,0.0,0.0
Rye,-0.13,0.66,0.0,0.0,0.0,0.0,0.56,0.42,0.18,0.69,-0.21,0.12,-0.34,-0.23,0.29,-0.4,0.27,0.12,-0.14,0.21,-0.14,-0.15,-0.21,0.25,0.0,0.0,0.0
Sorghum,0.12,0.28,0.08,-0.32,0.28,0.15,-0.07,0.02,-0.04,-0.09,0.0,0.46,-0.03,0.11,0.62,-0.08,0.46,-0.14,0.53,0.18,-0.26,-0.01,0.18,0.54,-0.19,0.0,0.0
Soybeans,0.37,0.33,-0.18,-0.0,0.02,0.01,-0.09,0.32,-0.07,0.47,-0.34,0.42,0.04,0.04,-0.04,-0.18,0.4,0.2,0.22,0.29,0.18,-0.05,0.09,0.6,-0.03,0.0,0.0
Spinach,0.49,0.21,-0.34,0.0,0.49,0.13,-0.05,0.01,-0.54,-0.58,-0.49,0.05,0.28,-0.26,-0.12,0.01,0.06,-0.12,0.15,0.2,0.06,-0.13,-0.18,0.09,0.0,0.0,0.0
Strawberries,0.23,0.1,0.4,-1.0,0.32,0.2,0.0,0.54,0.15,-0.23,-0.99,0.17,0.11,0.09,-0.42,0.46,-0.29,0.24,-0.25,0.21,0.21,-0.12,-0.16,-0.22,-0.09,0.0,0.0
"Tangerines, mandarins, clementines, satsumas",0.23,0.4,-0.29,-0.31,0.46,-0.16,-0.01,0.55,0.24,0.02,0.08,0.5,0.28,-0.34,0.17,-0.35,-0.24,-0.24,0.08,0.15,0.02,0.16,0.04,0.43,0.0,0.0,0.0
Tomatoes,0.4,0.55,0.61,-0.23,0.54,0.1,-0.68,0.54,-0.22,-0.35,-0.3,-0.26,0.22,0.1,0.13,0.0,-0.31,-0.1,-0.09,0.14,0.01,-0.18,-0.14,-0.48,0.41,0.0,0.0
"Tomatoes, paste",0.41,0.53,0.49,-0.01,0.25,0.05,-0.36,-0.04,-0.2,0.41,-0.04,-0.48,0.24,0.34,-0.03,0.01,0.3,0.12,0.03,-0.02,-0.17,-0.09,0.15,-0.43,-0.29,0.0,0.0
"Tomatoes, peeled",0.47,-0.02,0.03,0.04,0.46,-0.25,-0.57,0.52,0.28,-0.42,-0.23,0.37,0.02,-0.58,-0.07,0.09,0.22,-0.18,0.09,-0.04,0.06,-0.04,0.19,-0.18,0.01,0.0,0.0
Triticale,0.16,-0.26,-0.13,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.28,0.0,0.0,0.0,0.17,0.21,0.01,0.09,0.07,0.0,0.0,0.0,0.0
"Vegetables, fresh nes",0.29,0.07,0.29,0.04,0.11,-0.3,-0.45,0.54,-0.23,-0.45,-0.12,0.02,0.24,0.19,0.17,-0.19,-0.04,0.06,0.11,0.04,0.15,-0.12,-0.04,0.27,0.37,0.0,0.0
Watermelons,0.35,0.42,0.54,-0.2,0.4,-0.11,0.13,0.51,-0.44,-0.31,-0.14,0.4,0.22,0.13,0.17,-0.11,0.29,-0.06,-0.09,-0.31,-0.19,-0.33,-0.01,-0.36,0.42,0.0,0.0
Wheat,0.6,-0.02,0.32,0.01,0.59,0.22,0.32,0.28,0.25,-0.48,-0.37,0.03,0.14,-0.06,0.39,-0.51,-0.15,0.48,0.27,0.28,0.22,0.02,-0.04,0.13,-0.19,0.0,0.0
